"","player_name","player_api_id","overall_rating","gk_rating","numofappearences","numofleagues"
"553","Alvaro Cejudo",183350,74,51,114,1
"554","Alvaro Dominguez",114044,78,66,146,2
"555","Alvaro Dominguez",50104,67,48,48,1
"556","Alvaro Fernandez",141662,69,46,6,1
"557","Alvaro Garcia",474658,64,48,1,1
"558","Alvaro Gimenez",183327,68,49,8,1
"559","Alvaro Gonzalez Soberon",257855,76,53,140,1
"560","Alvaro Gonzalez",57067,73,49,77,1
"561","Alvaro Medran",523390,72,62,16,1
"562","Alvaro Mejia",41465,67,60,12,1
"563","Alvaro Morata",213501,80,43,27,2
"564","Alvaro Negredo",75310,81,48,121,2
"565","Alvaro Pereira",100033,74,50,102,3
"566","Alvaro Rubio",33586,71,53,112,1
"567","Alvaro Saborio",41564,70,67,2,1
"568","Alvaro Santos",34983,61,63,5,1
"569","Alvaro Vadillo",282467,71,43,18,1
"570","Alvaro Vazquez",213489,75,53,44,2
"571","Alves Justino Jorge Luiz,28",38162,67,54,28,1
"572","Aly Cissokho",93484,73,57,182,4
"573","Aly Ndom",681965,63,42,4,1
"574","Amad Al Hosni",185388,72,52,3,1
"575","Amadou Alassane",46660,66,117,22,1
"576","Amadou Diawara",668307,72,52,31,1
"577","Amadou Sidibe",111917,63,37,17,1
"578","Amadou Soukouna",318656,59,37,2,1
"579","Amara Baby",170316,67,43,12,1
"580","Amauri",38827,73,35,110,1
"581","Amaury Bischoff",27226,65,52,6,1
"582","Amdy Faye",35636,69,144,18,1
